Year,Species,Metric.Tons,Pounds,LandedValue,TaxonKey
2010,"SALMON, SOCKEYE",114754.9,252988614,278646491,
2010,SANDWORMS,122.2,269477,1444516,
2010,"SARDINE, PACIFIC",66157.7,145851214,12301798,
2010,"SARDINE, SPANISH",914.8,2016731,308268,
2010,"SCAD, BIGEYE",168.4,371281,940733,
2010,"SCAD, MACKEREL",92.8,204644,528736,
2010,SCADS,295.9,652263,428491,
2010,"SCALLOP, BAY",76,167570,2108858,
2010,"SCALLOP, SEA",26098.1,57535899,455731381,
2010,SCAMP,173.4,382267,1413240,
2010,"SCORPIONFISH, SPINYCHEEK",0.1,244,272,
2010,SCORPIONFISHES,5.8,12781,40757,
2010,SCULPINS,384.5,847688,28434,
2010,SCUP,4714.9,10394527,6921758,
2010,SCUPS OR PORGIES,106.1,233835,267293,
2010,"SEA BASS, BLACK",1026.6,2263220,6204345,
2010,"SEA BASS, GIANT",3.7,8059,22279,
2010,"SEA BASS, ROCK",15.5,34166,38492,
2010,SEA CATFISHES,1.3,2919,921,
2010,SEA CHUBS,12.5,27581,35186,
2010,SEA CUCUMBER,767.8,1692710,3634784,
2010,SEA RAVEN,3,6586,7345,
2010,SEA URCHINS,6491.5,14311056,13257553,
2010,"SEABASS, WHITE",261.3,576008,1575243,
2010,SEAROBINS,55.3,122015,23675,
2010,"SEATROUT, SAND",39.5,87064,56940,
2010,"SEATROUT, SPOTTED",143.9,317216,596435,
2010,"SEAWEED, ROCKWEED",5138.4,11328049,708013,
2010,SEAWEEDS,74.2,163614,80247,
2010,"SHAD, AMERICAN",284.7,627756,531530,
2010,"SHAD, GIZZARD",1108.4,2443687,289855,
2010,"SHAD, HICKORY",54.2,119513,28617,
2010,"SHARK, ATLANTIC SHARPNOSE",150.8,332385,134361,
2010,"SHARK, BIGEYE THRESHER",1.3,2819,924,
2010,"SHARK, BLACKNOSE",19.3,42461,26561,
2010,"SHARK, BLACKTIP",176.3,388595,209406,
2010,"SHARK, BLUE",0.1,126,64,
2010,"SHARK, BONNETHEAD",5.6,12417,6528,
2010,"SHARK, BULL",60.3,132894,53643,
2010,"SHARK, DOGFISH",54.4,119841,24186,
2010,"SHARK, FINETOOTH",9.4,20734,17111,
2010,"SHARK, HAMMERHEAD",57.4,126523,35779,
2010,"SHARK, LEMON",25.4,55991,24682,
2010,"SHARK, LEOPARD",3.2,7095,6150,
2010,"SHARK, MAKOS",83.8,184689,98762,
2010,"SHARK, PACIFIC ANGEL",8.8,19336,12443,
2010,"SHARK, PORBEAGLE",1.3,2936,1539,
2010,"SHARK, SAND TIGER",0,2,7,
2010,"SHARK, SANDBAR",89.4,197167,87038,
2010,"SHARK, SHORTFIN MAKO",182.4,402010,375812,
2010,"SHARK, SILKY",0.6,1233,386,
2010,"SHARK, SMOOTH DOGFISH",1746.4,3850185,1591173,
2010,"SHARK, SOUPFIN",2.7,5900,5869,
2010,"SHARK, SPINNER",12.5,27526,8134,
2010,"SHARK, SPINY DOGFISH",5817.8,12825940,2653832,
2010,"SHARK, THRESHER",147.9,326143,209748,
