NMFS Landings Query Results,,,,
,,,,
You Asked For the Following:,,,,
,,,,
Year             : From: 1950 To: 2010,,,,
,,,,
Species          : ALL SPECIES INDIVIDUALLY,,,,
,,,,
State            : All States,,,,
,,,,
Year,Species,Metric Tons,Pounds,$
1950,SAUGER,270.6,"596,600","107,222"
1950,"SAWFISH, SMALLTOOTH",9.3,"20,600",794
1950,SCADS,86,"189,500","9,480"
1950,"SCALLOP, BAY",725.5,"1,599,500","1,263,127"
1950,"SCALLOP, SEA","9,100.50","20,062,900","9,207,583"
1950,SCALLOPS,8.2,"18,000","10,616"
1950,SCULPINS,63.3,"139,500","23,794"
1950,SCUPS OR PORGIES,"16,115.20","35,527,600","2,434,856"
1950,"SEA BASS, BLACK","5,885.20","12,974,500","1,496,146"
1950,"SEA BASS, GIANT",68.4,"150,800","23,617"
1950,SEA CATFISHES,357.9,"789,100","35,826"
1950,SEA URCHINS,15.4,"34,000","1,388"
1950,"SEABASS, WHITE",694.6,"1,531,300","321,572"
1950,SEAROBINS,104.4,"230,100","4,114"
1950,"SEATROUT, SAND",213.3,"470,300","41,319"
1950,"SEATROUT, SPOTTED","2,950.80","6,505,300","1,457,142"
1950,"SEAWEED, IRISH MOSS",975.2,"2,150,000","30,200"
1950,"SEAWEED, KELP","91,265.50","201,204,000","3,090,493"
1950,"SHAD, AMERICAN","5,042.10","11,115,800","1,787,787"
1950,"SHAD, GIZZARD",137.4,"302,900","7,368"
1950,"SHAD, HICKORY",272.8,"601,400","31,561"
1950,"SHARK, DOGFISH","1,586.20","3,497,000","106,837"
1950,"SHARK, SOUPFIN",131.7,"290,400","92,080"
1950,SHARKS,414.1,"912,958","23,061"
1950,"SHEEPHEAD, CALIFORNIA",30,"66,200","4,904"
1950,SHEEPSHEAD,196.8,"433,900","43,022"
1950,"SHRIMP, MARINE, OTHER","85,431.30","188,341,900","43,196,403"
1950,"SHRIMP, OCEAN",416.9,"919,000","61,034"
1950,"SHRIMP, PENAEID","1,003.90","2,213,160","194,066"
1950,SILVERSIDES,150,"330,700","22,688"
1950,SKATES,384.3,"847,125","13,032"
1950,"SMELT, EULACHON",769.2,"1,695,800","154,276"
1950,"SMELT, RAINBOW","1,218.20","2,685,700","276,569"
1950,"SMELT, WHITEBAIT",94.2,"207,600","19,456"
1950,SMELTS,551.9,"1,216,700","90,457"
1950,SNAILS (CONCHS),188.9,"416,400","54,215"
1950,"SNAPPER, GRAY",168.7,"371,900","47,368"
1950,"SNAPPER, MUTTON",34.6,"76,300","10,244"
1950,"SNAPPER, RED","3,241.80","7,146,800","1,722,141"
1950,"SNAPPER, YELLOWTAIL",157.1,"346,400","68,270"
1950,SNAPPERS,2.3,"5,000","1,550"
1950,SNOOK,260.4,"574,000","68,858"
1950,SOLES,"20,522.60","45,244,200","2,249,042"
1950,"SPONGE, GRASS",0.5,"1,100","1,100"
1950,"SPONGE, SHEEPSWOOL",9,"19,800","128,300"
1950,"SPONGE, YELLOW",0.5,"1,100","1,100"
1950,SPOT,"4,750.20","10,472,300","659,643"
1950,SPOTTED CABRILLA,128.6,"283,600","34,555"
1950,SQUAWFISHES,0.7,"1,500",225
1950,SQUIDS,"3,789.80","8,355,000","276,777"
1950,STURGEONS,228.1,"502,800","101,988"
1950,SUCKERS,"1,438.80","3,171,900","152,502"
1950,SUNFISHES,10.4,"23,000","1,288"
1950,SURFPERCHES,224.5,"495,000","58,606"
1950,SWORDFISH,425.1,"937,100","348,959"
1950,TAUTOG,87,"191,800","9,911"
1950,"TILEFISH, GOLDEN","1,089.30","2,401,400","158,343"
1950,TRIGGERFISHES,7.2,"15,800","1,675"
