"Species","LandedValue","Landings","ObservedPrice","FishingEntityName","Year"
"Yellow-edged lyretail",1457,0.27850571518,5231.49048865418,"American Samoa",2008
"Mackerel",11099,2.64988662554,4188.4810818041,"American Samoa",2008
"Mahimahi",35667,7.98277211963,4467.99676421844,"American Samoa",2008
"Black marlin",300,0.090718474,3306.93393277316,"American Samoa",2008
"Blue marlin",61334,24.9747958922,2455.83588609649,"American Samoa",2008
"Striped marlin",1151,0.52208481787,2204.62262184878,"American Samoa",2008
"Mullets",58,0.00952543977,6088.9577174871,"American Samoa",2008
"Octopus",3685,0.66859515338,5511.55655462194,"American Samoa",2008
"Oilfish",155,0.07030681735,2204.62262184878,"American Samoa",2008
"Moonfish",4389,1.38254954376,3174.56977929602,"American Samoa",2008
"Yelloweye opakapaka",2269,0.3492661249,6496.47886879853,"American Samoa",2008
"Parrotfishes",8828,1.5195344395,5809.6741808003,"American Samoa",2008
"Terapon perch",79,0.01451495584,5442.66209768916,"American Samoa",2008
"Pomfret",888,0.1859728717,4774.88997122369,"American Samoa",2008
"Spiny pufferfish",171,0.03311224301,5164.25299090604,"American Samoa",2008
"Rabbitfishes",269,0.03991612856,6739.13051451501,"American Samoa",2008
"Rainbow runner",315,0.05533826914,5692.26332690463,"American Samoa",2008
"Rays",106,0.03220505827,3291.40842135169,"American Samoa",2008
"Rudderfishes",181,0.03220505827,5620.23513457223,"American Samoa",2008
"Sailfish",1745,0.78652916958,2218.60811714309,"American Samoa",2008
"Bigeye scad",2038,0.79786897883,2554.30409512667,"American Samoa",2008
"Sergeant major",85,0.01542214058,5511.55655462194,"American Samoa",2008
"Sharks (unknown)",17,0.00272155422,6246.43076190486,"American Samoa",2008
"Shrimp",959,0.0362873896,26427.9136794122,"American Samoa",2008
"Black snapper",572,0.10160469088,5629.66133793527,"American Samoa",2008
"Blue lined snapper",6584,1.15348539691,5707.91794819203,"American Samoa",2008
"Flower snapper (gindai)",1035,0.18052976326,5733.12666737056,"American Samoa",2008
"Humpback snapper",17821,3.1116436582,5727.19821340627,"American Samoa",2008
"Kusakar's snapper",348,0.05760623099,6041.0131685305,"American Samoa",2008
"Longtail snapper (onaga)",11424,1.63837564044,6972.7599202659,"American Samoa",2008
"Onespot snapper",220,0.03991612856,5511.55655462194,"American Samoa",2008
"Ruby snapper (ehu)",4088,0.57515512516,7107.64769567649,"American Samoa",2008
"Stone's snapper",106,0.01678291769,6315.94588962082,"American Samoa",2008
"Pink snapper (opakapaka)",862,0.16283966083,5293.55069647255,"American Samoa",2008
"Inshore snappers",1000,0.17009713875,5878.9936582634,"American Samoa",2008
"Soldierfishes",461,0.07892507238,5840.98292340394,"American Samoa",2008
"Spadefish",152,0.03084428116,4927.97997825021,"American Samoa",2008
"Spearfish",770,0.317514659,2425.08488403365,"American Samoa",2008
"Squirrelfishes",3571,0.64183320355,5563.75080043956,"American Samoa",2008
"Surgeonfishes/tangs",19987,3.52531989964,5669.5564002691,"American Samoa",2008
"Sweepers",825,0.14242800418,5792.40020071732,"American Samoa",2008
"Sweetlips",201,0.03401942775,5908.38862655472,"American Samoa",2008
"Swordfish",16406,4.61484877238,3555.04607175654,"American Samoa",2008
"Tilapia",812,0.25355813483,3202.42141134384,"American Samoa",2008
"Bigeye trevally",1328,0.22724977737,5843.7901034235,"American Samoa",2008
"Bluefin trevally",133,0.02177243376,6108.64184803932,"American Samoa",2008
"Trevallys",370,0.05851341573,6323.33620220191,"American Samoa",2008
"Albacore tuna",7836584,3539.20708363992,2214.22025182556,"American Samoa",2008
"Bigeye tuna",315513,123.92687859244,2545.96100203275,"American Samoa",2008
"Dogtooth tuna",2936,0.48216868931,6089.15523776858,"American Samoa",2008
"Kawakawa",387,0.12927382545,2993.6454549315,"American Samoa",2008
"Skipjack tuna",246602,169.97512240247,1450.81231014555,"American Samoa",2008
"Yellowfin tuna",762028,345.33982934528,2206.60327957162,"American Samoa",2008
"Unicornfishes",3164,0.55474346851,5703.53718358915,"American Samoa",2008
"Wahoo",182376,135.37509641887,1347.19017621751,"American Samoa",2008
"Wrasses",259,0.04672001411,5543.66270930906,"American Samoa",2008
"Pollock",59,0.0181436948,3251.81836722694,"American Samoa",2009
"Amberjack",513,0.08799691978,5829.74951035269,"American Samoa",2009
"Greater amberjack",2299,0.38283196028,6005.24574363784,"American Samoa",2009
"Barracudas",8674,1.48052549568,5858.73058269494,"American Samoa",2009
"Bigeye bream",292,0.05034875307,5799.5477980166,"American Samoa",2009
"Paeony bulleye",78,0.01315417873,5929.67463807602,"American Samoa",2009
"Butterflyfishes",30,0.00544310844,5511.55655462194,"American Samoa",2009
"Crabs",251,0.04309127515,5824.84503246361,"American Samoa",2009
"Moray eels",27,0.0045359237,5952.48107899169,"American Samoa",2009
"Ambon emperor",10863,1.87923318891,5780.54924961218,"American Samoa",2009
"Longnose emperor",9056,1.54039968852,5878.9936582634,"American Samoa",2009
"Redgill emperor",16839,3.0526766501,5516.14269380558,"American Samoa",2009
"Emperors",11351,2.08153538593,5453.18618012758,"American Samoa",2009
"Filefishes",908,0.15558218291,5836.14385025857,"American Samoa",2009
"Giant grouper",2099,0.35924515704,5842.80667078356,"American Samoa",2009
"Honeycomb grouper",331,0.06259574706,5287.89918718801,"American Samoa",2009
"Longspine grouper",478,0.0816466266,5854.49785135397,"American Samoa",2009
"Peacock grouper",1073,0.18733364881,5727.74836136498,"American Samoa",2009
"Smalltooth grouper",141,0.02313321087,6095.13313099367,"American Samoa",2009
"Spotted grouper",447,0.07665711053,5831.16160926866,"American Samoa",2009
"Squaretail grouper",83,0.01496854821,5544.95992768025,"American Samoa",2009
"Yellowspot grouper",233,0.03946253619,5904.33414816971,"American Samoa",2009
"Groupers",619,0.11294450013,5480.56788323049,"American Samoa",2009
"Inshore groupers",1563,0.28032008466,5575.76886399618,"American Samoa",2009
"Black jack",4351,0.74343789443,5852.53998027091,"American Samoa",2009
"Jacks",136,0.02449398798,5552.38289947099,"American Samoa",2009
"Goldflag jobfish",1149,0.17554024719,6545.50747417117,"American Samoa",2009
"Gray jobfish",12823,2.24800378572,5704.17188861317,"American Samoa",2009
"Silverjaw jobfish (lehi)",10515,1.68373487744,6245.04495386311,"American Samoa",2009
"Spiny lobster",11263,1.08907528037,10341.801161967,"American Samoa",2009
"Yellow - edged lyretail",2979,0.50938423151,5848.23756944568,"American Samoa",2009
"White - edged lyretail",697,0.11838760857,5887.44048823217,"American Samoa",2009
"Mackerel",452,0.17191150823,2629.25969676952,"American Samoa",2009
"Mahimahi",58938,11.13750705298,5291.84850071366,"American Samoa",2009
"Black marlin",605,0.29347426339,2061.50956138873,"American Samoa",2009
"Blue marlin",52779,25.19977770772,2094.42323706812,"American Samoa",2009
"Striped marlin",1964,0.81011597282,2424.34424933426,"American Samoa",2009
"Monchong",67,0.01496854821,4476.05198981418,"American Samoa",2009
"Mullets",101,0.01542214058,6549.02602372725,"American Samoa",2009
"Octopus",178,0.0272155422,6540.38044481803,"American Samoa",2009
"Oilfish",4549,2.06339169113,2204.62262184878,"American Samoa",2009
"Moonfish",7294,2.20581969531,3306.70725966789,"American Samoa",2009
"Yelloweye opakapaka",3901,0.64319398066,6065.04432146126,"American Samoa",2009
"Parrotfishes",13797,2.39632849071,5757.55788636145,"American Samoa",2009
"Terapon perch",316,0.05261671492,6005.69610779494,"American Samoa",2009
"Pomfret",2293,0.46221062503,4960.94177811506,"American Samoa",2009
"Porcupinefish",62,0.01270058636,4881.66437695086,"American Samoa",2009
"Spiny pufferfish",287,0.05397749203,5317.03102916469,"American Samoa",2009
"Rainbow runner",660,0.11294450013,5843.57803381603,"American Samoa",2009
"Rudderfishes",38,0.00680388555,5585.04397535023,"American Samoa",2009
"Sailfish",5055,0.91398862555,5530.70340121368,"American Samoa",2009
"Bigeye scad",219,0.02993709642,7315.33869977094,"American Samoa",2009
"Sergeant major",137,0.02358680324,5808.33267679389,"American Samoa",2009
"Sharks (unknown)",700,0.53297103475,1313.39220025033,"American Samoa",2009
"Black snapper",2130,0.36332748837,5862.47963113345,"American Samoa",2009
"Blue lined snapper",13072,2.26251874156,5777.63169863817,"American Samoa",2009
"Flower snapper (gindai)",338,0.06168856232,5479.1356337124,"American Samoa",2009
"Humpback snapper",30443,5.47803505249,5557.28463003579,"American Samoa",2009
"Longtail snapper (onaga)",7780,1.3426334152,5794.58243175117,"American Samoa",2009
"Onespot snapper",187,0.03265865064,5725.89486507946,"American Samoa",2009
"Ruby snapper (ehu)",4044,0.65725534413,6152.85982246822,"American Samoa",2009
"Rufous snapper",63,0.01088621688,5787.13438235304,"American Samoa",2009
"Stone's snapper",1399,0.23405366292,5977.26172086519,"American Samoa",2009
"Pink snapper (opakapaka)",1358,0.24630065691,5513.58659386858,"American Samoa",2009
"Inshore snappers",290,0.04898797596,5919.82000311245,"American Samoa",2009
"Soldierfishes",577,0.10024391377,5755.96041994002,"American Samoa",2009
"Spearfish",1096,0.43227352861,2535.43168262986,"American Samoa",2009
"Squirrelfishes",4248,0.75886003501,5597.87023168775,"American Samoa",2009
"Surgeonfishes/tangs",27334,4.84209854975,5645.07304408566,"American Samoa",2009
"Sweepers",1999,0.33157602247,6028.78333936485,"American Samoa",2009
"Sweetlips",37,0.00635029318,5826.50264345748,"American Samoa",2009
"Swordfish",41370,8.62687328503,4795.48019695483,"American Samoa",2009
"Tilapia",194,0.0544310844,3564.13990532219,"American Samoa",2009
"Bigeye trevally",1905,0.32159699033,5923.56289791526,"American Samoa",2009
"Bluefin trevally",663,0.08572895793,7733.67618140602,"American Samoa",2009
"Trevallys",1382,0.226796185,6093.57692679002,"American Samoa",2009
"Triggerfishes",77,0.01451495584,5304.87318382362,"American Samoa",2009
"Albacore tuna",8653770,3919.51616315798,2207.86689983378,"American Samoa",2009
"Bigeye tuna",381481,146.39512304802,2605.83134231096,"American Samoa",2009
"Dogtooth tuna",1690,0.28893833969,5848.99879266002,"American Samoa",2009
"Skipjack tuna",211662,157.02052431527,1347.98938497377,"American Samoa",2009
"Yellowfin tuna",801061,387.77657070537,2065.7797827828,"American Samoa",2009
"Unicornfishes",8302,1.49957637522,5536.23018953071,"American Samoa",2009
"Wahoo",182068,136.5857344544,1332.99425981258,"American Samoa",2009
"Wrasses",75,0.01315417873,5701.61022891925,"American Samoa",2009
"Greater amberjack",861,0.15286062869,5632.58183208248,"American Samoa",2010
"Barracudas",1122,0.19277675725,5820.20372168077,"American Samoa",2010
"Bigeye bream",576,0.11838760857,4865.37406201109,"American Samoa",2010
"Paeony bulleye",49,0.0090718474,5401.3254235295,"American Samoa",2010
"Crabs",59,0.01043262451,5655.33629082947,"American Samoa",2010
"Eels",577,0.08708973504,6625.35027503512,"American Samoa",2010
"Ambon emperor",947,0.1632932532,5799.38228580775,"American Samoa",2010
"Longnose emperor",2066,0.36559545022,5651.05500836175,"American Samoa",2010
"Redgill emperor",4157,0.72529419963,5731.46731646364,"American Samoa",2010
"Emperors",2178,0.37920322132,5743.62209376392,"American Samoa",2010
"Filefishes",367,0.06304933943,5820.83814545684,"American Samoa",2010
"Flagtails",97,0.01451495584,6682.7623224791,"American Samoa",2010
"Goatfishes",31,0.00544310844,5695.27510644267,"American Samoa",2010
"Longspine grouper",289,0.04762719885,6067.96131156473,"American Samoa",2010
"Peacock grouper",590,0.10160469088,5806.81851290526,"American Samoa",2010
"Groupers",1735,0.28621678547,6061.83874628784,"American Samoa",2010
"Inshore groupers",1312,0.21999229945,5963.84511312494,"American Samoa",2010
"Black jack",1837,0.33021524536,5563.03812683544,"American Samoa",2010
"Jacks",38,0.00680388555,5585.04397535023,"American Samoa",2010
"Brown jobfish",56,0.00952543977,5878.9936582634,"American Samoa",2010
"Goldflag jobfish",620,0.10659420695,5816.4511725372,"American Samoa",2010
"Gray jobfish",2909,0.50938423151,5710.81674706865,"American Samoa",2010
"Silverjaw jobfish (lehi)",2992,0.49350849856,6062.71221008413,"American Samoa",2010
"Spiny lobster",15149,1.77127820485,8552.5808190492,"American Samoa",2010
"White - edged lyretail",795,0.13698489574,5803.5595508933,"American Samoa",2010
"Mackerel",25,0.0045359237,5511.55655462194,"American Samoa",2010
"Mahimahi",33949,6.1597843846,5511.39421127718,"American Samoa",2010
"Black marlin",100,0.0181436948,5511.55655462194,"American Samoa",2010
"Blue marlin",132211,34.2689035535,3858.04581677364,"American Samoa",2010
"Striped marlin",3314,1.37801362006,2404.9109179746,"American Samoa",2010
"Octopus",404,0.07166759446,5637.13632422092,"American Samoa",2010
"Moonfish",484,0.08799691978,5500.1925204887,"American Samoa",2010
"Parrotfishes",26605,4.19255427591,6345.77354260377,"American Samoa",2010
"Terapon perch",181,0.03129787353,5783.14050079172,"American Samoa",2010
"Pomfret",1052,0.21182763679,4966.30192330816,"American Samoa",2010
"Spiny pufferfish",96,0.02902991168,3306.93393277316,"American Samoa",2010
"Rabbitfishes",30,0.00544310844,5511.55655462194,"American Samoa",2010
"Rainbow runner",474,0.07801788764,6075.52978346698,"American Samoa",2010
"Humpback snapper",7068,1.1657323909,6063.14112499111,"American Samoa",2010
"Longtail snapper (onaga)",2348,0.38373914502,6118.73985354719,"American Samoa",2010
"Onespot snapper",216,0.03719457434,5807.29861365043,"American Samoa",2010
"Ruby snapper (ehu)",1660,0.2358680324,7037.8337543634,"American Samoa",2010
"Stone's snapper",32,0.00544310844,5878.9936582634,"American Samoa",2010
