x,TaxonKey,,,,Species,TaxonKey
Moonfish,400317,,,,,
Moonfish,600390,,,,,
Moray eels,400056,,,,,
Mullets,508042,,,,,
Mullets,400359,,,,,
Mullets,504212,,,,,
Multidens snapper,600208,,,,,
Napoleon wrasse,605604,,,,,
Octopus,590013,,,,,
Oilfish,601044,,,,,
Onaga (longtail snapper),601385,,,,,
Onespot snapper,600166,,,,,
Orange goatfish,605985,,,,,
Orangespot emperor,601862,,,,,
Other pelagic sharks,200007,,,,,
Other Sharks,200007,,,,,
Pa'a crab,490097,,,,,
Paddletail snapper,600265,,,,,
Paeony bulleye,600344,,,,,
Parrotfishes,400364,,,,,
Parrotfishes,500242,,,,,
Parrotfishes (misc),400364,,,,,
Peacock grouper,606396,,,,,
Pelagic fishes (unknown),NA,,,,,
Pink snapper (opakapaka),600201,,,,,
Pollock,600034,,,,,
Pomfret,400319,,,,,
Porcupinefish,500154,,,,,
Pristipomoides/Etelis,502124,,,,,
Pygmy grouper,606455,,,,,
Rabbitfish,602503,,,,,
Rabbitfishes,400413,,,,,
Rainbow runner,600412,,,,,
Rays,100538,,,,,
Red snapper,400323,,,,,
"Red snapper, mu",400323,,,,,
Redgill emperor,601863,,,,,
Ruby snapper (ehu),600087,,,,,
Rudderfish,600249,,,,,
Rudderfish (cinerascens),NA,,,,,
Rudderfishes,NA,,,,,
Rufous snapper,600155,,,,,
Saber squirrelfish,606507,,,,,
Saddleback grouper,607372,,,,,
Sailfish,500488,,,,,
Salmon,502724,,,,,
Sergeant major,509206,,,,,
Seven-11 crab,690771,,,,,
Sharks,500816,,,,,
Sharks,200007,,,,,
Sharks (misc),200007,,,,,
Sharks (unknown),200007,,,,,
Shrimp,590094,,,,,
Silverjaw jobfish (lehi),600083,,,,,
Six-banded grouper,500366,,,,,
Skipjack tuna,600107,,,,,
Skipjack Tuna,600107,,,,,
Smalltooth grouper,600083,,,,,
Smalltooth jobfish (lehi),600083,,,,,
Soldierfishes,501130,,,,,
Spadefish,400340,,,,,
Spearfish,603915,,,,,
Spiny lobster,690801,,,,,
Spiny pufferfish,400449,,,,,
Spotted eels,607547,,,,,
Spotted grouper,600348,,,,,
Squaretail grouper,606082,,,,,
Squid,390002,,,,,
Squirrel snapper (ehu),600087,,,,,
Squirrelfish,601061,,,,,
Squirrelfishes,509309,,,,,
Stareye parrotfish,604355,,,,,
Stocky hawkfish,605831,,,,,
Stone's snapper,600193,,,,,
Striped grouper,500366,,,,,
Striped marlin,600223,,,,,
Striped Marlin,600223,,,,,
Sunfish,601732,,,,,
Surgeonfishes/tangs,400412,,,,,
Sweepers,400334,,,,,
Sweetlips,500476,,,,,
Swordfish,600226,,,,,
Swordfish,400417,,,,,
Terapon perch,400306,,,,,
Threadfins,500153,,,,,
Threadfins,400361,,,,,
Tilapia,NA,,,,,
Timor snapper,500357,,,,,
Tomato grouper,606454,,,,,
Trevally (misc),502100,,,,,
Trevallys,502100,,,,,
Triggerfish,400445,,,,,
Triggerfishes,400445,,,,,
Twinspot/red snapper,601417,,,,,
Unicornfishes,500480,,,,,
Unicornfishes (misc),500480,,,,,
Wahoo,600089,,,,,
White-edged lyretail,606478,,,,,
White - edged lyretail,606478,,,,,
Whitemouth trevally,601984,,,,,
Wrasses,400362,,,,,
Wrasses,500508,,,,,
Wrasses (misc),500508,,,,,
