"SPEC","Species","UNIT","Measure","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2009","2009","GBP","Pound Sterling","0","units",,,24477919.02,,
"PPEL","Pelagics","LC","National Currency","GBR","United Kingdom","2010","2010","GBP","Pound Sterling","0","units",,,36093392.13,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","1995","1995","TONNE","Tonnes","0","units",,,3282,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","1996","1996","TONNE","Tonnes","0","units",,,27631,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","1997","1997","TONNE","Tonnes","0","units",,,13261,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","1998","1998","TONNE","Tonnes","0","units",,,16174.8,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","1999","1999","TONNE","Tonnes","0","units",,,15232,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2000","2000","TONNE","Tonnes","0","units",,,14412,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2001","2001","TONNE","Tonnes","0","units",,,10651,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2002","2002","TONNE","Tonnes","0","units",,,8856,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2003","2003","TONNE","Tonnes","0","units",,,19520,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2005","2005","TONNE","Tonnes","0","units",,,14187.417,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2006","2006","TONNE","Tonnes","0","units",,,21986.986,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2007","2007","TONNE","Tonnes","0","units",,,31789.547,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2008","2008","TONNE","Tonnes","0","units",,,73464.024,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2009","2009","TONNE","Tonnes","0","units",,,64510.898,,
"PGRT","GRAND TOTAL","TON","Tonnes","IRL","Ireland","2010","2010","TONNE","Tonnes","0","units",,,81340.7,,
"PCOD","Cod (Atlantic and Pacific)","LC","National Currency","USA","United States","1998","1998","USD","US Dollar","0","units",,,99000,,
"PCOD","Cod (Atlantic and Pacific)","LC","National Currency","USA","United States","1999","1999","USD","US Dollar","0","units",,,30000,,
"PCOD","Cod (Atlantic and Pacific)","LC","National Currency","USA","United States","2000","2000","USD","US Dollar","0","units",,,19000,,
"PCOD","Cod (Atlantic and Pacific)","LC","National Currency","USA","United States","2001","2001","USD","US Dollar","0","units",,,34000,,
"PCOD","Cod (Atlantic and Pacific)","LC","National Currency","USA","United States","2002","2002","USD","US Dollar","0","units",,,37000,,
"PCOD","Cod (Atlantic and Pacific)","LC","National Currency","USA","United States","2003","2003","USD","US Dollar","0","units",,,49000,,
"PCOD","Cod (Atlantic and Pacific)","LC","National Currency","USA","United States","2004","2004","USD","US Dollar","0","units",,,91000,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","1997","1997","TONNE","Tonnes","0","units",,,4902,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","1998","1998","TONNE","Tonnes","0","units",,,8468,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2000","2000","TONNE","Tonnes","0","units",,,3507,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2001","2001","TONNE","Tonnes","0","units",,,2424,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2002","2002","TONNE","Tonnes","0","units",,,1890,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2003","2003","TONNE","Tonnes","0","units",,,1571,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2004","2004","TONNE","Tonnes","0","units",,,1290,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2005","2005","TONNE","Tonnes","0","units",,,1033,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2006","2006","TONNE","Tonnes","0","units",,,818,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2007","2007","TONNE","Tonnes","0","units",,,2005,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2008","2008","TONNE","Tonnes","0","units",,,632,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2009","2009","TONNE","Tonnes","0","units",,,1020,,
"PCOD","Cod (Atlantic and Pacific)","TON","Tonnes","NLD","Netherlands","2010","2010","TONNE","Tonnes","0","units",,,861,,
"PPEL","Pelagics","TON","Tonnes","BEL","Belgium","2003","2003","TONNE","Tonnes","0","units",,,1,,
"PPEL","Pelagics","TON","Tonnes","BEL","Belgium","2004","2004","TONNE","Tonnes","0","units",,,41,,
"PPEL","Pelagics","TON","Tonnes","BEL","Belgium","2005","2005","TONNE","Tonnes","0","units",,,67,,
"PPEL","Pelagics","TON","Tonnes","BEL","Belgium","2006","2006","TONNE","Tonnes","0","units",,,39.3,,
"PPEL","Pelagics","TON","Tonnes","BEL","Belgium","2007","2007","TONNE","Tonnes","0","units",,,9.1,,
