,Series N12-24.,,"Quantities of fish landed, by region and by major species, 1869 to 1975",,,,,,,,,,,,,,,,,,,,,
,,,(thousands of pounds),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Year1,,,,,, East coast2,,,,,,,Inland,,,,,, West coast3,,,,
,,,Cod,Haddock,,Lobsters, Sword-,Herring,Redfish,Scallops,,White-,,Blue,,,Yellow,,Salmon,Herring,Halibut4,,,
,,,, ,,,fish,and,,,,fish,,pickerel,,,pickerel,,,,,,,
,,,,,,,,sardines,,,,,,,,,,,,,,,,
,,,12,13,,14,15,16,17,18,,19,,20,,,21,,22,23,24,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1885,,"323,218","74,400",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1884,,"306,717","86,800",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1883,,"322,536","69,200",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1882,,"270,909","71,500",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1881,,"322,675","47,100",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1880,,"327,754","43,600",,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1879,,"320,245",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1878,,"270,749",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1877,,"244,520",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1876,,"249,258",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1875,,"224,636",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1874,,"239,367",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1873,,"264,253",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1872,,"247,331",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1871,,"202,381",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1870,,"173,527",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,1869,,"154,007",–,,–,–,–,–,–,,–,,–,,,–,,–,–,–,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,"For 1869 to 1909 and for 1917 to 1975, calendar years; for 1910 to 1917, fiscal years ending 31 March of the year given.",,,,,,,,,,,,,,,,,,,,,,,
2,Newfoundland is included in series N12-18 beginning in 1952.,,,,,,,,,,,,,,,,,,,,,,,
3,"No effort is made to convert fish to a common landed form, with the exception of salmon.",,,,,,,,,,,,,,,,,,,,,,,
4,Includes halibut landed in United States ports beginning in 1961.,,,,,,,,,,,,,,,,,,,,,,,
5,Breakdown not available since 1968.,,,,,,,,,,,,,,,,,,,,,,,
6,See note to series N13 for unusual size of this figure.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
