Species,CommonName,Name,T1
 Solenocera membranacea,Atlantic mud shrimp ,Atlantic mud shrimp - Solenocera membranacea,100045
 Brama brama,Atlantic pomfret ,Atlantic pomfret - Brama brama,600391
 Sebastes spp,Atlantic redfishes nei ,Atlantic redfishes nei - Sebastes spp,501135
 Istiophorus albicans,Atlantic sailfish ,Atlantic sailfish - Istiophorus albicans,600078
 Salmo salar,Atlantic salmon ,Atlantic salmon - Salmo salar,600236
 Scomberesox saurus,Atlantic saury ,Atlantic saury - Scomberesox saurus,601084
 Xiphopenaeus kroyeri,Atlantic seabob ,Atlantic seabob - Xiphopenaeus kroyeri,690032
 Prionotus spp,Atlantic searobins ,Atlantic searobins - Prionotus spp,500495
 Menidia menidia,Atlantic silverside ,Atlantic silverside - Menidia menidia,600339
 Melanostigma atlanticum,Atlantic soft pout ,Atlantic soft pout - Melanostigma atlanticum,NA
 Trachyscorpia cristulata,Atlantic thornyhead ,Atlantic thornyhead - Trachyscorpia cristulata,604011
 Microgadus tomcod,Atlantic tomcod ,Atlantic tomcod - Microgadus tomcod,600316
 Tetrapturus albidus,Atlantic white marlin ,Atlantic white marlin - Tetrapturus albidus,600219
 Anarhichas lupus,Atlantic wolffish ,Atlantic wolffish - Anarhichas lupus,602501
 Galeus boardmani,Australian sawtail catshark ,Australian sawtail catshark - Galeus boardmani,500640
 Pagellus acarne,Axillary seabream ,Axillary seabream - Pagellus acarne,600889
 Alepocephalus bairdii,Baird's slickhead ,Baird's slickhead - Alepocephalus bairdii,600230
 Mysticeti,Baleen whales nei ,Baleen whales nei - Mysticeti,NA
 Labrus bergylta,Ballan wrasse ,Ballan wrasse - Labrus bergylta,600572
 Venerupis rhomboides,Banded carpet shell ,Banded carpet shell - Venerupis rhomboides,690675
 Phyllonotus trunculus,Banded murex ,Banded murex - Phyllonotus trunculus,NA
 Mitella pollicipes,Barnacle ,Barnacle - Mitella pollicipes,690043
 Sphyraenidae,"Barracudas etc, nei ","Barracudas etc, nei - Sphyraenidae",400360
 Sphyraena spp,Barracudas nei ,Barracudas nei - Sphyraena spp,500372
 Paralepididae,Barracudinas nei ,Barracudinas nei - Paralepididae,505460
 Cetorhinus maximus,Basking shark ,Basking shark - Cetorhinus maximus,600090
 Pomadasys incisus,Bastard grunt ,Bastard grunt - Pomadasys incisus,605003
 Bathyraja spp,Bathyraja rays nei ,Bathyraja rays nei - Bathyraja spp,NA
 Batoidimorpha (Hypotremata),Batoid fishes nei ,Batoid fishes nei - Batoidimorpha (Hypotremata),NA
 Sebastes mentella,Beaked redfish ,Beaked redfish - Sebastes mentella,NA
 Pharus legumen,Bean solen ,Bean solen - Pharus legumen,NA
 Brotula barbata,Bearded brotula ,Bearded brotula - Brotula barbata,NA
 Huso huso,Beluga ,Beluga - Huso huso,NA
 Kyphosus sectatrix,Bermuda sea chub ,Bermuda sea chub - Kyphosus sectatrix,NA
scale pomfret ,Big,Big-scale pomfret - Taractichthys longipinnis,NA
scale sand smelt ,Big,Big-scale sand smelt - Atherina boyeri,NA
 Brachydeuterus auritus,Bigeye grunt ,Bigeye grunt - Brachydeuterus auritus,NA
 Selar crumenophthalmus,Bigeye scad ,Bigeye scad - Selar crumenophthalmus,NA
 Alopias superciliosus,Bigeye thresher ,Bigeye thresher - Alopias superciliosus,NA
 Thunnus obesus,Bigeye tuna ,Bigeye tuna - Thunnus obesus,NA
 Priacanthus spp,Bigeyes nei ,Bigeyes nei - Priacanthus spp,NA
 Priacanthidae,"Bigeyes,Glasseyes,Bulleyes, nei ","Bigeyes,Glasseyes,Bulleyes, nei - Priacanthidae",NA
