Species,TaxonKey
Caspian shad - Alosa caspia,NA
Caspian shads - Caspialosa spp,NA
Cataetyx laticeps,NA
"Catsharks etc, nei - Scyliorhinidae",NA
"Catsharks,Nursehounds, nei - Scyliorhinus spp",NA
Cephalopods nei - Cephalopoda,NA
Chamber venus - Circomphalus casinus,NA
Changeable nassa - Nassarius mutabilis,NA
Chars nei - Salvelinus spp,NA
Cheilopogon heterurus,NA
"Chimaeras etc, nei - Chimaeriformes",NA
Chinese river crab - Eriocheir sinensis,NA
Chub - leuciscus cepalus,NA
Chub mackerel - Scomber japonicus,NA
Citharids nei - Citharidae,NA
"Clams etc, nei - Bivalvia",NA
"Clams, cockles, arkshells",NA
Clupeoids nei - Clupeoidei,NA
Cobia - Rachycentron canadum,NA
Cockles nei - Cardiidae,NA
"Cods, hakes, haddocks",NA
Comber - Serranus cabrilla,NA
Combers nei - Serranus spp,NA
Combtooth blennies - Blenniidae,NA
Comet grouper - Epinephelus morrhua,NA
Common Atlantic grenadier - Nezumia aequalis,NA
Common bluestripe snapper - Lutjanus kasmira,NA
Common bobtail squid - Sepietta oweniana,NA
Common carp - Cyprinus carpio,NA
Common cuttlefish - Sepia officinalis,NA
Common dab - Limanda limanda,NA
Common dace - Leuciscus leuciscus,NA
Common dentex - Dentex dentex,NA
Common dolphinfish - Coryphaena hippurus,NA
Common eagle ray - Myliobatis aquila,NA
Common edible cockle - Cerastoderma edule,NA
Common European bittersweet - Glycymeris glycymeris,NA
Common jellyfish - Aurelia aurita,NA
Common mora - Mora moro,NA
Common octopus - Octopus vulgaris,NA
Common pandora - Pagellus erythrinus,NA
Common periwinkle - Littorina littorea,NA
Common piddock - Pholas dactylus,NA
Common prawn - Palaemon serratus,NA
Common shrimp - Crangon crangon,NA
Common sole - Solea solea,NA
Common spiny lobster - Palinurus elephas,NA
Common squids nei - Loligo spp,NA
Common stingray - Dasyatis pastinaca,NA
Common two-banded seabream - Diplodus vulgaris,NA
"Conger eels etc, nei - Congridae",NA
Conger eels nei - Conger spp,NA
Coral hind - Cephalopholis miniata,NA
Corals,NA
Corkwing wrasse - Symphodus melops,NA
Corrugated venus - Venerupis corrugata,NA
"Crabs, sea-spiders",NA
Crangon shrimps nei - Crangon spp,NA
Crangonid shrimps - Crangonidae,NA
"Craylets,squat lobsters - Galatheidae",NA
