"Species","CommonName","Name","TaxonKey"
"Calappa granulata","Shamefaced crab","Shamefaced crab - Calappa granulata",390013
"Cancer bellianus","Toothed rock crab","Toothed rock crab - Cancer bellianus",390013
"Carcinus spp","Carcinus crabs nei","Carcinus crabs nei - Carcinus spp",390013
"Eriphia verrucosa","Warty crab","Warty crab - Eriphia verrucosa",390013
"Petromyzonidae","Lampreys nei","Lampreys nei - Petromyzonidae",400001
"Lamnidae","Mackerel sharks, Porbeagles, nei ","Mackerel sharks, Porbeagles, nei - Lamnidae",400009
"Scyliorhinidae","Catsharks etc, nei ","Catsharks etc, nei - Scyliorhinidae",400010
"Carcharhinidae","Requiem sharks nei","Requiem sharks nei - Carcharhinidae",400011
"Squalidae","Dogfish sharks nei","Dogfish sharks nei - Squalidae",400013
"Squatinidae","Angelsharks, Sand devils, nei ","Angelsharks, Sand devils, nei - Squatinidae",400015
"Squatina aculeata","Sawback angelshark","Sawback angelshark - Squatina aculeata",400015
"Rhinobatidae","Guitarfishes etc, nei ","Guitarfishes etc, nei - Rhinobatidae",400017
"Torpedinidae","Electric rays nei","Electric rays nei - Torpedinidae",400018
"Rajidae","Rays and skates nei","Rays and skates nei - Rajidae",400019
"Dasyatidae","Stingrays, Butterfly rays, nei ","Stingrays, Butterfly rays, nei - Dasyatidae",400020
"Taeniura grabata","Round stingray","Round stingray - Taeniura grabata",400020
"Myliobatidae","Eagle rays","Eagle rays - Myliobatidae",400022
"Acipenseridae","Sturgeons nei","Sturgeons nei - Acipenseridae",400032
"Clupeidae","Herrings, Sardines, nei ","Herrings, Sardines, nei - Clupeidae",400043
"Muraenidae","Morays","Morays - Muraenidae",400056
"Enchelycore anatina","Fangtooth moray","Fangtooth moray - Enchelycore anatina",400056
"Muraena spp","Muraena spp","Muraena spp",400056
"Congridae","Conger eels etc, nei ","Conger eels etc, nei - Congridae",400062
"Conger spp","Conger eels nei","Conger eels nei - Conger spp",400062
"Diploconger polystigmatus","Diploconger polystigmatus","Diploconger polystigmatus",400062
"Salmonidae","Salmonids nei","Salmonids nei - Salmonidae",400076
"Salmonoidei","Salmonoids nei","Salmonoids nei - Salmonoidei",400076
"Atherina hepsetus","Mediterranean sand smelt","Mediterranean sand smelt - Atherina hepsetus",400080
"Ariidae","Sea catfishes nei","Sea catfishes nei - Ariidae",400145
"Synodontidae","Lizardfishes nei","Lizardfishes nei - Synodontidae",400160
"Synodus saurus","Atlantic lizardfish","Atlantic lizardfish - Synodus saurus",400160
"Lampadena anoma","Anomalous lanternfish","Anomalous lanternfish - Lampadena anoma",400167
"Moridae","Moras nei","Moras nei - Moridae",400180
"Lepidion eques","North Atlantic codling","North Atlantic codling - Lepidion eques",400180
"Eleginus navaga","Wachna cod (=Navaga)","Wachna cod (=Navaga) - Eleginus navaga",400183
"Macrouridae","Grenadiers,Rattails, nei ","Grenadiers,Rattails, nei - Macrouridae",400185
"Hymenocephalus italicus","Glasshead grenadier","Glasshead grenadier - Hymenocephalus italicus",400185
"Lophiidae","Anglerfishes nei","Anglerfishes nei - Lophiidae",400190
"Exocoetidae","Flyingfishes nei","Flyingfishes nei - Exocoetidae",400206
"Cheilopogon heterurus","Cheilopogon heterurus","Cheilopogon heterurus",400206
"Hirundichthys rondeletii","Black wing flyingfish","Black wing flyingfish - Hirundichthys rondeletii",400206
"Belonidae","Needlefishes etc, nei ","Needlefishes etc, nei - Belonidae",400207
"Scomberesocidae","Sauries nei","Sauries nei - Scomberesocidae",400208
"Atherinidae","Silversides(=Sand smelts) nei","Silversides(=Sand smelts) nei - Atherinidae",400218
"Trachichthyidae","Slimeheads nei","Slimeheads nei - Trachichthyidae",400236
"Berycidae","Alfonsinos etc, nei ","Alfonsinos etc, nei - Berycidae",400240
"Holocentridae","Squirrelfishes nei","Squirrelfishes nei - Holocentridae",400243
"Zeidae","Dories nei","Dories nei - Zeidae",400249
"Caproidae","Boarfishes nei","Boarfishes nei - Caproidae",400252
"Fistularia spp","Flutemouth","Flutemouth - Fistularia spp",400254
"Scorpaenidae","Scorpionfishes nei","Scorpionfishes nei - Scorpaenidae",400264
"Triglidae","Gurnards,Searobins nei ","Gurnards,Searobins nei - Triglidae",400266
"Serranidae","Groupers, Seabasses, nei ","Groupers, Seabasses, nei - Serranidae",400289
"Priacanthidae","Bigeyes,Glasseyes,Bulleyes, nei ","Bigeyes,Glasseyes,Bulleyes, nei - Priacanthidae",400303
"Apogonidae","Cardinalfishes etc, nei ","Cardinalfishes etc, nei - Apogonidae",400304
"Apogon imberbis","Cardinal fish","Cardinal fish - Apogon imberbis",400304
"Apogonichthys perdix","Perdix cardinalfish","Perdix cardinalfish - Apogonichthys perdix",400304
"Branchiostegidae","Tilefishes nei","Tilefishes nei - Branchiostegidae",400308
"Carangidae","Carangids nei","Carangids nei - Carangidae",400314
"scale pomfret","Big","Big-scale pomfret - Taractichthys longipinnis",400319
"Haemulidae (=Pomadasyidae)","Grunts, Sweetlips, nei ","Grunts, Sweetlips, nei - Haemulidae (=Pomadasyidae)",400327
"Lethrinidae","Emperors(=Scavengers) nei","Emperors(=Scavengers) nei - Lethrinidae",400328
"Sparidae","Porgies, Seabreams, nei ","Porgies, Seabreams, nei - Sparidae",400330
"Sciaenidae","Croakers,Drums, nei ","Croakers,Drums, nei - Sciaenidae",400331
"Umbrina ronchus","Fusca drum","Fusca drum - Umbrina ronchus",400331
"Umbrina spp","Drums nei","Drums nei - Umbrina spp",400331
"Mullidae","Goatfishes,Red mullets, nei ","Goatfishes,Red mullets, nei - Mullidae",400332
"Kyphosidae","Sea chubs nei","Sea chubs nei - Kyphosidae",400339
"leuciscus cepalus","Chub","Chub - leuciscus cepalus",400339
"Mugilidae","Mullets nei","Mullets nei - Mugilidae",400359
"Oedalechilus labeo","Boxlip mullet","Boxlip mullet - Oedalechilus labeo",400359
"Sphyraenidae","Barracudas etc, nei ","Barracudas etc, nei - Sphyraenidae",400360
"Polynemidae","Threadfins,Tasselfishes, nei ","Threadfins,Tasselfishes, nei - Polynemidae",400361
"Labridae","Wrasses,Hogfishes, etc, nei ","Wrasses,Hogfishes, etc, nei - Labridae",400362
"Centrolabrus exoletus","Rock cook","Rock cook - Centrolabrus exoletus",400362
"Emerald wrasse","Emerald wrasse","Emerald wrasse",400362
"Labrus bimaculatus","Cuckoo wrasse","Cuckoo wrasse - Labrus bimaculatus",400362
"Labrus viridis","Green wrasse","Green wrasse - Labrus viridis",400362
"rayed wrasse","Scale","Scale-rayed wrasse - Acantholabrus palloni",400362
"Symphodus cinereus","Grey wrasse","Grey wrasse - Symphodus cinereus",400362
"Symphodus wrasses nei","Symphodus wrasses nei","Symphodus wrasses nei",400362
"Trachinidae","Weeverfishes nei","Weeverfishes nei - Trachinidae",400377
"Stomias boa","Boa dragonfish","Boa dragonfish - Stomias boa",400383
"Blenniidae","Combtooth blennies","Combtooth blennies - Blenniidae",400392
"Blennius ocellaris","Butterfly blenny","Butterfly blenny - Blennius ocellaris",400392
"Gobiidae","Gobies nei","Gobies nei - Gobiidae",400405
"Gobius spp","Atlantic gobies nei","Atlantic gobies nei - Gobius spp",400405
"Amblygobius albimaculatus","Butterfly goby","Butterfly goby - Amblygobius albimaculatus",400405
"Acanthuridae","Surgeonfishes nei","Surgeonfishes nei - Acanthuridae",400412
"Siganus spp","Spinefeet(=Rabbitfishes) nei","Spinefeet(=Rabbitfishes) nei - Siganus spp",400413
"Gempylidae","Snake mackerels, Escolars, nei ","Snake mackerels, Escolars, nei - Gempylidae",400414
"Trichiuridae","Hairtails, Scabbardfishes, nei ","Hairtails, Scabbardfishes, nei - Trichiuridae",400415
"Scombridae","Mackerels nei","Mackerels nei - Scombridae",400416
"Sarda spp","Bonitos nei","Bonitos nei - Sarda spp",400416
"Thunnini","Tunas nei","Tunas nei - Thunnini",400416
"Istiophoridae","Marlins, Sailfishes, etc nei ","Marlins, Sailfishes, etc nei - Istiophoridae",400419
"Centrolophidae","Ruffs, Barrelfishes, nei ","Ruffs, Barrelfishes, nei - Centrolophidae",400421
"Stromateidae","Butterfishes, Pomfrets, nei ","Butterfishes, Pomfrets, nei - Stromateidae",400425
"Bothidae","Lefteye flounders nei","Lefteye flounders nei - Bothidae",400439
"Pleuronectidae","Righteye flounders nei","Righteye flounders nei - Pleuronectidae",400440
"Soleidae","Soles nei","Soles nei - Soleidae",400441
"Bathysolea profundicola","Deep water sole","Deep water sole - Bathysolea profundicola",400441
"Buglossidium luteum","Solenette","Solenette - Buglossidium luteum",400441
"Centroceras clavulatum","Klein's sole","Klein's sole - Centroceras clavulatum",400441
"Centroceras clavulatum","Red panache","Red panache - Centroceras clavulatum",400441
"Monochirus hispidus","Whiskered sole","Whiskered sole - Monochirus hispidus",400441
"Synaptura lusitanica","Portuguese sole","Portuguese sole - Synaptura lusitanica",400441
"Balistidae","Triggerfishes, Durgons, nei ","Triggerfishes, Durgons, nei - Balistidae",400445
"Balistes vetula","Queen triggerfish","Queen triggerfish - Balistes vetula",400445
"Tetraodontidae","Puffers nei","Puffers nei - Tetraodontidae",400448
"Lagocephalus lagocephalus","Oceanic puffer","Oceanic puffer - Lagocephalus lagocephalus",400448
"Triakidae","Houndsharks, Smoothhounds, nei ","Houndsharks, Smoothhounds, nei - Triakidae",400488
"Scophtalmidae","Turbots nei","Turbots nei - Scophtalmidae",400515
"Monacanthidae","Filefishes, leatherjackets nei ","Filefishes, leatherjackets nei - Monacanthidae",400517
"Peristedion cataphractum","African armoured searobin","African armoured searobin - Peristedion cataphractum",400581
"Ommastrephidae","Squids nei","Squids nei - Ommastrephidae",490004
"Loliginidae","Inshore squids nei","Inshore squids nei - Loliginidae",490010
"Alloteuthis spp","Alloteuthis spp","Alloteuthis spp",490010
"Octopodidae","Octopuses etc, nei ","Octopuses etc, nei - Octopodidae",490012
"Octopoteuthis sicula","Ruppell's octopus squid","Ruppell's octopus squid - Octopoteuthis sicula",490012
"Octopus aegina","Sandbird octopus","Sandbird octopus - Octopus aegina",490012
"Octopus defilippi","Lilliput longarm octopus","Lilliput longarm octopus - Octopus defilippi",490012
"Octopus salutii","Spider octopus","Spider octopus - Octopus salutii",490012
"Octopus spp","Octopuses nei","Octopuses nei - Octopus spp",490012
"Palaemonidae","Palaemonid shrimps nei","Palaemonid shrimps nei - Palaemonidae",490030
"Portunidae","Swimming crabs etc, nei ","Swimming crabs etc, nei - Portunidae",490031
"Liocarcinus arcuatus","Arched swimming crab","Arched swimming crab - Liocarcinus arcuatus",490031
"Lithodidae","King crabs,Stone crabs, nei ","King crabs,Stone crabs, nei - Lithodidae",490036
"Palinuridae","Spiny lobsters nei","Spiny lobsters nei - Palinuridae",490039
"Scyllaridae","Slipper lobsters nei","Slipper lobsters nei - Scyllaridae",490040
"Scyllarus arctus","Lesser slipper lobster","Lesser slipper lobster - Scyllarus arctus",490040
"Aristeidae","Aristeid shrimps nei","Aristeid shrimps nei - Aristeidae",490042
"Penaeidae","Penaeid shrimps nei","Penaeid shrimps nei - Penaeidae",490043
"Crangonidae","Crangonid shrimps","Crangonid shrimps - Crangonidae",490044
"Pandalidae","Pandalid shrimps nei","Pandalid shrimps nei - Pandalidae",490046
"Squillidae","Squillids nei","Squillids nei - Squillidae",490052
"Erugosquilla massavensis","Red sea mantis shrimp","Red sea mantis shrimp - Erugosquilla massavensis",490052
"Mytilidae","Sea mussels nei","Sea mussels nei - Mytilidae",490054
"Pectinidae","Scallops nei","Scallops nei - Pectinidae",490055
"Flexopecten glaber","Smooth scallop","Smooth scallop - Flexopecten glaber",490055
"Minnivola pyxidata","Box scallop","Box scallop - Minnivola pyxidata",490055
"Cardiidae","Cockles nei","Cockles nei - Cardiidae",490058
"Acanthocardia echinata","European prickly cockle","European prickly cockle - Acanthocardia echinata",490058
"Acanthocardia paucicostata","Poorly ribbed cockle","Poorly ribbed cockle - Acanthocardia paucicostata",490058
"Cerastoderma glaucum","Olive green cockle","Olive green cockle - Cerastoderma glaucum",490058
"Fragum fragum","White strawberry cockle","White strawberry cockle - Fragum fragum",490058
"Glossanodon leioglossus","Smalltoothed argentine","Smalltoothed argentine - Glossanodon leioglossus",490058
"Glycymeris maculata","Speckled bittersweet","Speckled bittersweet - Glycymeris maculata",490058
"Glycymeris violacescens","Violet bittersweet","Violet bittersweet - Glycymeris violacescens",490058
"Veneridae","Venus clams nei","Venus clams nei - Veneridae",490060
"Solenidae","Razor clams, Knife clams, nei ","Razor clams, Knife clams, nei - Solenidae",490061
"Mactridae","Mactra surf clams nei","Mactra surf clams nei - Mactridae",490063
"Brachyura","Marine crabs nei","Marine crabs nei - Brachyura",490097
"Grapsus grapsus","Lightfoot crab","Lightfoot crab - Grapsus grapsus",490097
"Galatheidae","Craylets,squat lobsters ","Craylets,squat lobsters - Galatheidae",490124
"Munida rugosa","Rugose squat lobster","Rugose squat lobster - Munida rugosa",490124
"Arbacia lixula","Black sea urchin","Black sea urchin - Arbacia lixula",490138
"Ostreidae","Flat and cupped oysters nei","Flat and cupped oysters nei - Ostreidae",490143
"Centroscymnus cryptacanthus","Shortnose velvet dogfish","Shortnose velvet dogfish - Centroscymnus cryptacanthus",500107
"Squalus spp","Dogfishes nei","Dogfishes nei - Squalus spp",500107
"Raja fyllae","Round ray","Round ray - Raja fyllae",500108
"Raja leopardus","Leopard skate","Leopard skate - Raja leopardus",500108
"Raja melitensis","Maltese ray","Maltese ray - Raja melitensis",500108
