"FlagCountry","variable","value","Unit","Species","Landed.Country"
"Finland","2008","243","Tonnes product weight","Atlantic salmon - Salmo salar","Finland"
"Finland","2009","249","Tonnes product weight","Atlantic salmon - Salmo salar","Finland"
"Finland","2010","178","Tonnes product weight","Atlantic salmon - Salmo salar","Finland"
"Finland","2011","190","Tonnes product weight","Atlantic salmon - Salmo salar","Finland"
"Finland","2012","278","Tonnes product weight","Atlantic salmon - Salmo salar","Finland"
"Finland","2013","259","Tonnes product weight","Atlantic salmon - Salmo salar","Finland"
"Finland","2007","34095","Euro","European smelt - Osmerus eperlanus","Finland"
"Finland","2008","20310","Euro","European smelt - Osmerus eperlanus","Finland"
"Finland","2009","43807","Euro","European smelt - Osmerus eperlanus","Finland"
"Finland","2010","247804","Euro","European smelt - Osmerus eperlanus","Finland"
"Finland","2011","658949","Euro","European smelt - Osmerus eperlanus","Finland"
"Finland","2012","366833","Euro","European smelt - Osmerus eperlanus","Finland"
"Finland","2013","568675","Euro","European smelt - Osmerus eperlanus","Finland"
"Finland","2007","227","Tonnes product weight","European smelt - Osmerus eperlanus","Finland"
"Finland","2008","135","Tonnes product weight","European smelt - Osmerus eperlanus","Finland"
"Finland","2009","125","Tonnes product weight","European smelt - Osmerus eperlanus","Finland"
"Finland","2010","497","Tonnes product weight","European smelt - Osmerus eperlanus","Finland"
"Finland","2011","1012","Tonnes product weight","European smelt - Osmerus eperlanus","Finland"
"Finland","2012","567","Tonnes product weight","European smelt - Osmerus eperlanus","Finland"
"Finland","2013","901","Tonnes product weight","European smelt - Osmerus eperlanus","Finland"
"Finland","2007","1176987","Euro","European sprat - Sprattus sprattus","Finland"
"Finland","2008","1627635","Euro","European sprat - Sprattus sprattus","Finland"
"Finland","2009","962238","Euro","European sprat - Sprattus sprattus","Finland"
"Finland","2010","804840","Euro","European sprat - Sprattus sprattus","Finland"
"Finland","2011","1196310","Euro","European sprat - Sprattus sprattus","Finland"
"Finland","2012","760752","Euro","European sprat - Sprattus sprattus","Finland"
"Finland","2013","1211403","Euro","European sprat - Sprattus sprattus","Finland"
"Finland","2007","12313","Tonnes product weight","European sprat - Sprattus sprattus","Finland"
"Finland","2008","13745","Tonnes product weight","European sprat - Sprattus sprattus","Finland"
"Finland","2009","7849","Tonnes product weight","European sprat - Sprattus sprattus","Finland"
"Finland","2010","6707","Tonnes product weight","European sprat - Sprattus sprattus","Finland"
"Finland","2011","6879","Tonnes product weight","European sprat - Sprattus sprattus","Finland"
"Finland","2012","4103","Tonnes product weight","European sprat - Sprattus sprattus","Finland"
"Finland","2013","5101","Tonnes product weight","European sprat - Sprattus sprattus","Finland"
"Finland","2007","7706","Euro","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2008","35288","Euro","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2009","17064","Euro","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2010","11346","Euro","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2011","12221","Euro","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2012","11015","Euro","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2013","11552","Euro","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2007","4","Tonnes product weight","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2008","13","Tonnes product weight","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2009","9","Tonnes product weight","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2010","7","Tonnes product weight","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2011","5","Tonnes product weight","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2012","4","Tonnes product weight","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2013","4","Tonnes product weight","Rainbow trout - Oncorhynchus mykiss","Finland"
"Finland","2007","216691","Euro","Sea trout - Salmo trutta","Finland"
"Finland","2008","227068","Euro","Sea trout - Salmo trutta","Finland"
"Finland","2009","283484","Euro","Sea trout - Salmo trutta","Finland"
"Finland","2010","252455","Euro","Sea trout - Salmo trutta","Finland"
"Finland","2011","326782","Euro","Sea trout - Salmo trutta","Finland"
"Finland","2012","275245","Euro","Sea trout - Salmo trutta","Finland"
"Finland","2013","214956","Euro","Sea trout - Salmo trutta","Finland"
"Finland","2007","59","Tonnes product weight","Sea trout - Salmo trutta","Finland"
"Finland","2008","68","Tonnes product weight","Sea trout - Salmo trutta","Finland"
"Finland","2009","64","Tonnes product weight","Sea trout - Salmo trutta","Finland"
"Finland","2010","54","Tonnes product weight","Sea trout - Salmo trutta","Finland"
"Finland","2011","62","Tonnes product weight","Sea trout - Salmo trutta","Finland"
"Finland","2012","56","Tonnes product weight","Sea trout - Salmo trutta","Finland"
"Finland","2013","46","Tonnes product weight","Sea trout - Salmo trutta","Finland"
