"FlagCountry","variable","value","Unit","Species","Landed.Country"
"Finland","2009","84400","Tonnes product weight","Finfish and invertebrates","Finland"
"Finland","2010","82989","Tonnes product weight","Finfish and invertebrates","Finland"
"Finland","2011","78289","Tonnes product weight","Finfish and invertebrates","Finland"
"Finland","2012","102795","Tonnes product weight","Finfish and invertebrates","Finland"
"Finland","2013","109777","Tonnes product weight","Finfish and invertebrates","Finland"
"Finland","2007","3007911","Euro","Freshwater fishes","Finland"
"Finland","2008","2955359","Euro","Freshwater fishes","Finland"
"Finland","2009","3147610","Euro","Freshwater fishes","Finland"
"Finland","2010","4015329","Euro","Freshwater fishes","Finland"
"Finland","2011","5120154","Euro","Freshwater fishes","Finland"
"Finland","2012","4496444","Euro","Freshwater fishes","Finland"
"Finland","2013","4401025","Euro","Freshwater fishes","Finland"
"Finland","2007","2162","Tonnes product weight","Freshwater fishes","Finland"
"Finland","2008","1913","Tonnes product weight","Freshwater fishes","Finland"
"Finland","2009","1785","Tonnes product weight","Freshwater fishes","Finland"
"Finland","2010","2369","Tonnes product weight","Freshwater fishes","Finland"
"Finland","2011","2838","Tonnes product weight","Freshwater fishes","Finland"
"Finland","2012","3123","Tonnes product weight","Freshwater fishes","Finland"
"Finland","2013","2966","Tonnes product weight","Freshwater fishes","Finland"
"Finland","2007","129251","Euro","Carps, barbels and other cyprinids","Finland"
"Finland","2008","123755","Euro","Carps, barbels and other cyprinids","Finland"
"Finland","2009","182261","Euro","Carps, barbels and other cyprinids","Finland"
"Finland","2010","327073","Euro","Carps, barbels and other cyprinids","Finland"
"Finland","2011","520592","Euro","Carps, barbels and other cyprinids","Finland"
"Finland","2012","344567","Euro","Carps, barbels and other cyprinids","Finland"
"Finland","2013","514761","Euro","Carps, barbels and other cyprinids","Finland"
"Finland","2007","685","Tonnes product weight","Carps, barbels and other cyprinids","Finland"
"Finland","2008","570","Tonnes product weight","Carps, barbels and other cyprinids","Finland"
"Finland","2009","587","Tonnes product weight","Carps, barbels and other cyprinids","Finland"
"Finland","2010","997","Tonnes product weight","Carps, barbels and other cyprinids","Finland"
"Finland","2011","1148","Tonnes product weight","Carps, barbels and other cyprinids","Finland"
