Species,CommonName,Name,T1,TaxonKey
Cardiidae,Cockles nei,Cockles nei - Cardiidae,NA,490058
Veneridae,Venus clams nei,Venus clams nei - Veneridae,NA,490060
Solenidae,"Razor clams, Knife clams, nei ","Razor clams, Knife clams, nei - Solenidae",NA,490061
Mactridae,Mactra surf clams nei,Mactra surf clams nei - Mactridae,NA,490063
Brachyura,Marine crabs nei,Marine crabs nei - Brachyura,NA,490097
Galatheidae,"Craylets,squat lobsters ","Craylets,squat lobsters - Galatheidae",NA,490124
Ostreidae,Flat and cupped oysters nei,Flat and cupped oysters nei - Ostreidae,NA,490143
Coryphaena hippurus,Common dolphinfish,Common dolphinfish - Coryphaena hippurus,NA,600006
Argentina sphyraena,Argentine,Argentine - Argentina sphyraena,600020,600020
Clupea harengus,Atlantic herring,Atlantic herring - Clupea harengus,600024,600024
Glyptocephalus cynoglossus,Witch flounder,Witch flounder - Glyptocephalus cynoglossus,NA,600026
Lepidorhombus whiffiagonis,Megrim,Megrim - Lepidorhombus whiffiagonis,NA,600028
Merlangius merlangus,Whiting,Whiting - Merlangius merlangus,NA,600029
Merluccius merluccius,European hake,European hake - Merluccius merluccius,NA,600030
Micromesistius poutassou,Blue whiting (=Poutassou),Blue whiting (=Poutassou) - Micromesistius poutassou,NA,600031
Microchirus variegatus,Thickback sole,Thickback sole - Microchirus variegatus,NA,600032
Molva molva,Ling,Ling - Molva molva,NA,600033
Pollachius pollachius,Pollack,Pollack - Pollachius pollachius,NA,600034
Anguilla anguilla,European eel,European eel - Anguilla anguilla,NA,600035
Aphia minuta,Transparent goby,Transparent goby - Aphia minuta,NA,600039
Arnoglossus laterna,Mediterranean scaldfish,Mediterranean scaldfish - Arnoglossus laterna,NA,600041
Chelidonichthys cuculus,Red gurnard,Red gurnard - Chelidonichthys cuculus,NA,600044
Atherina presbyter,Sand smelt,Sand smelt - Atherina presbyter,NA,600045
Belone belone,Garfish,Garfish - Belone belone,NA,600047
Brosme brosme,Tusk (=Cusk),Tusk (=Cusk) - Brosme brosme,NA,600051
Capros aper,Boarfish,Boarfish - Capros aper,NA,600054
