"","FishingEntityID","TaxonKey","Year","EndProduct"
"109",4,400359,2011,"Fishmeal and fish oil"
"110",4,400359,2012,"Fishmeal and fish oil"
"111",4,400359,2013,"Fishmeal and fish oil"
"112",4,400359,2014,"Fishmeal and fish oil"
"113",4,490012,2011,"Fishmeal and fish oil"
"114",4,490012,2012,"Fishmeal and fish oil"
"115",4,490012,2013,"Fishmeal and fish oil"
"116",4,490012,2014,"Fishmeal and fish oil"
"117",4,490012,2015,"Fishmeal and fish oil"
"118",4,490012,2016,"Fishmeal and fish oil"
"119",4,500903,2011,"Fishmeal and fish oil"
"120",4,500903,2012,"Fishmeal and fish oil"
"121",4,500903,2013,"Fishmeal and fish oil"
"122",4,500903,2014,"Fishmeal and fish oil"
"123",4,500903,2015,"Fishmeal and fish oil"
"124",4,500903,2016,"Fishmeal and fish oil"
"125",4,690109,2011,"Fishmeal and fish oil"
"126",4,690109,2012,"Fishmeal and fish oil"
"127",4,690109,2013,"Fishmeal and fish oil"
"128",4,690109,2014,"Fishmeal and fish oil"
"129",4,690109,2015,"Fishmeal and fish oil"
"130",4,690109,2016,"Fishmeal and fish oil"
"131",4,600398,2011,"Fishmeal and fish oil"
"132",4,600398,2012,"Fishmeal and fish oil"
"133",4,600398,2013,"Fishmeal and fish oil"
"134",4,600398,2014,"Fishmeal and fish oil"
"135",4,300061,2011,"Fishmeal and fish oil"
"136",4,300061,2012,"Fishmeal and fish oil"
"137",4,300061,2013,"Fishmeal and fish oil"
"138",4,300061,2014,"Fishmeal and fish oil"
"139",4,300061,2015,"Fishmeal and fish oil"
"140",4,300061,2016,"Fishmeal and fish oil"
"141",4,400361,2011,"Fishmeal and fish oil"
"142",4,400361,2012,"Fishmeal and fish oil"
"143",4,400361,2013,"Fishmeal and fish oil"
"144",4,400361,2014,"Fishmeal and fish oil"
"145",4,400361,2015,"Fishmeal and fish oil"
"146",4,400361,2016,"Fishmeal and fish oil"
"147",4,500516,2011,"Fishmeal and fish oil"
