Country,Year,CNumber.x,Landings,LandedValue,ObservedPrice,TaxonKey,ISSCAAP,OrdCode,FamCode,GenCode,SpeCode,TargetCode,Used,OldVersionData,nom,CNumber.y,FishingEntityID,FishingEntityName
Spain,2004,724,466,226777,486.6459227,400010,38,8,10,NA,NA,19,TRUE,NA,27284,724,165,Spain
Spain,2005,724,393,189419,481.9821883,400415,34,60,415,NA,NA,15,TRUE,NA,28095,724,165,Spain
Spain,1999,724,128,139652,1091.03125,601343,32,44,183,1891,1343,6,TRUE,NA,23640,724,165,Spain
Spain,1994,724,11487,3592607,312.7541569,600118,36,60,416,142,118,2,TRUE,NA,20967,724,165,Spain
Spain,2006,724,265,751662,2836.460377,600006,39,60,315,116,6,3,TRUE,NA,29105,724,165,Spain
Spain,1994,724,32225,33557736,1041.357207,600146,36,60,416,1905,146,3,TRUE,NA,20970,724,165,Spain
Spain,1998,724,40409,18243324,451.4668514,500661,37,60,314,661,NA,2,TRUE,NA,23038,724,165,Spain
Spain,1999,724,13,219595,16891.92308,690125,43,90013,90038,90077,90125,27,TRUE,NA,23646,724,165,Spain
Spain,2001,724,128580,236919024,1842.580681,100032,32,NA,NA,NA,NA,14,TRUE,NA,24862,724,165,Spain
Spain,2006,724,31214,66504248,2130.590376,100038,38,NA,NA,NA,NA,21,TRUE,NA,28995,724,165,Spain
Spain,1995,724,62398,66223804,1061.312927,590010,57,90002,90010,90010,NA,25,TRUE,NA,21545,724,165,Spain
Spain,1995,724,352,1360910,3866.221591,590075,42,90013,90031,90075,NA,27,TRUE,NA,21546,724,165,Spain
Spain,2005,724,195,163415,838.025641,601381,32,44,183,3044,1381,6,TRUE,NA,28225,724,165,Spain
Spain,2006,724,14,22167,1583.357143,100044,44,NA,NA,NA,NA,27,TRUE,NA,28999,724,165,Spain
Spain,1994,724,66,118794,1799.909091,601342,31,61,440,128,1342,24,TRUE,NA,20974,724,165,Spain
Spain,2005,724,3514,23602202,6716.619806,590010,57,90002,90010,90010,NA,25,TRUE,NA,28145,724,165,Spain
Spain,2002,724,26960,69773888,2588.052226,100538,38,NA,NA,NA,NA,21,TRUE,NA,25603,724,165,Spain
Spain,2004,724,69,289843,4200.623188,400439,31,61,439,NA,NA,23,TRUE,NA,27307,724,165,Spain
Spain,2004,724,956,7346583,7684.710251,601327,33,60,332,143,1327,5,TRUE,NA,27416,724,165,Spain
Spain,2004,724,29567,98734792,3339.357798,100057,57,NA,NA,NA,NA,25,TRUE,NA,27266,724,165,Spain
Spain,1999,724,10056,14671917,1459.021181,501096,32,44,505,1096,NA,6,TRUE,NA,23620,724,165,Spain
Spain,1999,724,5763,16824692,2919.432934,501135,33,59,573,1135,NA,5,TRUE,NA,23621,724,165,Spain
Spain,2004,724,8,125229,15653.625,490043,45,90013,90043,NA,NA,26,TRUE,NA,27316,724,165,Spain
Spain,2004,724,3936,25289554,6425.191565,490046,45,90013,90046,NA,NA,26,TRUE,NA,27317,724,165,Spain
Spain,2001,724,67546,209771472,3105.609096,100058,58,NA,NA,NA,NA,29,TRUE,NA,24875,724,165,Spain
Spain,2006,724,475,1352123,2846.574737,100076,76,NA,NA,NA,NA,29,TRUE,NA,29008,724,165,Spain
Spain,2004,724,63,180052,2857.968254,601371,31,61,440,882,1371,24,TRUE,NA,27426,724,165,Spain
Spain,1994,724,4039,6299634,1559.701411,500887,34,26,62,887,NA,6,TRUE,NA,20956,724,165,Spain
Spain,1992,724,333,1297258,3895.66967,690156,55,90008,90055,90122,90156,29,TRUE,NA,19894,724,165,Spain
Spain,1994,724,508,1311240,2581.181102,600034,32,44,183,1891,34,15,TRUE,NA,20964,724,165,Spain
Spain,2006,724,9871,31788050,3220.347483,600516,31,61,440,2749,516,23,TRUE,NA,29146,724,165,Spain
Spain,2005,724,10028,40711800,4059.812525,100056,56,NA,NA,NA,NA,29,TRUE,NA,28054,724,165,Spain
Spain,1992,724,508,4119024,8108.314961,490046,45,90013,90046,NA,NA,26,TRUE,NA,19868,724,165,Spain
Spain,1993,724,177043,359244608,2029.137599,100139,39,NA,NA,NA,NA,4,TRUE,NA,20399,724,165,Spain
Spain,2004,724,247,7315076,29615.69231,290022,47,NA,NA,NA,NA,27,TRUE,NA,27277,724,165,Spain
Spain,2004,724,65,115017,1769.492308,300009,38,9,NA,NA,NA,19,TRUE,NA,27278,724,165,Spain
Spain,2005,724,448,1074118,2397.584821,100076,76,NA,NA,NA,NA,29,TRUE,NA,28057,724,165,Spain
Spain,2003,724,9394,58957048,6276.032361,503124,31,61,515,3124,NA,23,TRUE,NA,26550,724,165,Spain
Spain,1995,724,7552,20808076,2755.306674,500113,32,44,183,113,NA,5,TRUE,NA,21536,724,165,Spain
Spain,2006,724,7,22429,3204.142857,601357,35,28,43,9194,1357,1,TRUE,NA,29183,724,165,Spain
Spain,1995,724,29978,10003369,333.6903396,500142,36,60,416,142,NA,2,TRUE,NA,21537,724,165,Spain
Spain,2006,724,53,126950,2395.283019,100024,24,NA,NA,NA,NA,2,TRUE,NA,28987,724,165,Spain
Spain,2005,724,302,2888988,9566.18543,690387,42,90013,90033,90071,90387,27,TRUE,NA,28253,724,165,Spain
Spain,2003,724,180,706699,3926.105556,600034,32,44,183,1891,34,15,TRUE,NA,26557,724,165,Spain
Spain,1999,724,13,41034,3156.461538,601342,31,61,440,128,1342,24,TRUE,NA,23639,724,165,Spain
Spain,1999,724,128227,46043812,359.0804745,601350,35,28,43,4103,1350,1,TRUE,NA,23641,724,165,Spain
Spain,1999,724,2155,3853161,1788.009745,601367,32,44,183,740,1367,14,TRUE,NA,23642,724,165,Spain
Spain,2001,724,12153,44277988,3643.379248,100031,31,NA,NA,NA,NA,23,TRUE,NA,24861,724,165,Spain
Spain,2006,724,152452,116988608,767.3799491,100037,37,NA,NA,NA,NA,15,TRUE,NA,28994,724,165,Spain
Spain,1998,724,53116,224075536,4218.607124,500654,32,44,184,654,NA,15,TRUE,NA,23037,724,165,Spain
Spain,2006,724,33975,131840208,3880.50649,600030,32,44,184,654,30,6,TRUE,NA,29111,724,165,Spain
Spain,2002,724,1508,24644284,16342.3634,100043,43,NA,NA,NA,NA,27,TRUE,NA,25594,724,165,Spain
Spain,2006,724,2174,10980338,5050.75345,100042,42,NA,NA,NA,NA,27,TRUE,NA,28997,724,165,Spain
Spain,2005,724,1817,5215260,2870.258668,601382,31,61,440,1380,1382,23,TRUE,NA,28226,724,165,Spain
