Species,TaxonKey
"CUTLASSFISH, ATLANTIC",400415
DEALFISH,603265
Dogfish,500107
Dogtooth tuna,600106
DOLPHINFISH,500116
"DORY, AMERICAN JOHN",601370
"DRUM, BLACK",600425
"DRUM, RED",601191
DRUMS,400331
ECHINODERM,100276
Eel,300026
"EEL, AMERICAN",600296
"EEL, CONGER",300026
Eels,509279
EELS,300026
"EELS, SNAKE",400066
Ehu (squirrelfish snap.),400243
Emperors,501144
EMPERORS,501144
Emperors (misc),501144
ESCOLAR,601042
Filefishes,501677
"FINFISHES, UNC BAIT AND ANIMAL FOOD",100139
"FINFISHES, UNC FOR FOOD",100139
"FINFISHES, UNC GENERAL",100139
Flagtail grouper,606456
Flagtails,400301
FLATFISH,300061
Flatfishes,300061
"FLOUNDER, ARROWTOOTH",600517
"FLOUNDER, FOURSPOT",613967
"FLOUNDER, PACIFIC, SANDDAB",100031
"FLOUNDER, SOUTHERN",100031
"FLOUNDER, STARRY",604249
"FLOUNDER, SUMMER",601338
"FLOUNDER, WINDOWPANE",600530
"FLOUNDER, WINTER",600524
"FLOUNDER, WITCH",600026
"FLOUNDER, YELLOWTAIL",600521
"FLOUNDER,ATLANTIC,PLAICE",604239
"FLOUNDER,PACIFIC,SANDDAB",604215
Flounders,500048
"FLOUNDERS, RIGHTEYE",400440
Flower snapper (gindai),600211
GAG,601212
GARS,400475
Giant clam,690147
Giant grouper,606468
Gindai (flower snap),600211
GLASSEYE SNAPPER,601150
Goatfish,507028
Goatfishes,507028
GOATFISHES,400332
Goldflag jobfish,600200
Goldspot trevally,601926
GOOSEFISH,400190
Gray jobfish,502124
GRAYSBY,600012
Greasy grouper,604461
Greater amberjack,601005
Greenland turbot,600516
"GREENLING, KELP",604032
GRENADIERS,500327
"GROUPER, BLACK",601209
"GROUPER, RED",600017
"GROUPER, SNOWY",601208
"GROUPER, WARSAW",601207
"GROUPER, YELLOWEDGE",601205
"GROUPER, YELLOWFIN",601216
"GROUPER, YELLOWMOUTH",601211
Groupers,503028
GROUPERS,503028
Groupers (misc),503028
"GRUNT, TOMTATE",400327
"GRUNT, WHITE",601140
GRUNTS,400327
Haddock,601381
HADDOCK,601381
HAGFISHES,400002
Hake,500654
"HAKE, ATLANTIC, RED/WHITE",500654
"HAKE, OFFSHORE SILVER",601080
"HAKE, PACIFIC (WHITING)",600326
"HAKE, RED",600312
"HAKE, SILVER",600323
"HAKE, WHITE",600313
Halibut,100031
"HALIBUT, ATLANTIC",601371
"HALIBUT, CALIFORNIA",100031
"HALIBUT, GREENLAND",600516
"HALIBUT, PACIFIC",600514
HARVESTFISH,603923
Hawaiian opakapaka,600201
Herring,501941
"HERRING, ATLANTIC",600024
"HERRING, ATLANTIC THREAD",601486
"HERRING, BLUEBACK",601574
"HERRING, PACIFIC",601520
HERRINGS,501941
Hexagon grouper,604923
"HIND, RED",600015
"HIND, ROCK",600014
"HIND, SPECKLED",500442
HOGFISH,601071
Honeycomb grouper,604923
Humpback snapper,600265
Inshore groupers,500366
Inshore snappers,400323
JACK MACKEREL,500661
"JACK, ALMACO",500467
"JACK, BAR",601918
"JACK, BLACK",601936
"JACK, CREVALLE",600071
"JACK, HORSE-EYE",601935
Jacks,500467
JACKS,500467
Jacks (misc),500467
"JOBFISH, GREEN (UKU)",600084
Kawakawa,600096
KING WHITING,600029
